GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice12,com.example.dto,SalleRequest,0,17,0,0,0,7,0,5,0,5
exercice12,com.example.dto,ReservationRequest,0,31,0,0,0,13,0,9,0,9
exercice12,com.example.model,StatutReservation,0,15,0,0,0,3,0,1,0,1
exercice12,com.example.model,Reservation,0,45,0,0,0,19,0,13,0,13
exercice12,com.example.model,Salle,0,24,0,0,0,10,0,7,0,7
exercice12,com.example.exception,ConflitReservationException,0,4,0,0,0,2,0,1,0,1
exercice12,com.example.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
exercice12,com.example.exception,RessourceIntrouvableException,0,4,0,0,0,2,0,1,0,1
exercice12,com.example.exception,GestionnaireExceptions,0,27,0,0,0,4,0,4,0,4
exercice12,com.example,Application,5,3,0,0,2,1,1,1,1,1
exercice12,com.example.controller,ReservationController,0,33,0,0,0,8,0,4,0,4
exercice12,com.example.controller,SalleController,0,23,0,0,0,6,0,3,0,3
exercice12,com.example.service,ReservationService,7,132,5,17,1,30,5,11,0,5
exercice12,com.example.service,SalleService,4,39,1,5,1,11,2,4,1,2
exercice12,com.example.repository,SalleRepositoryEnMemoire,7,42,1,1,1,10,2,4,1,4
exercice12,com.example.repository,ReservationRepositoryEnMemoire,0,70,2,4,0,16,2,6,0,5
